SqFt #Bedrooms #Baths #Balconys Price
493 0 1 0 4099
655 1 1 0 4326
664 1 1 1 4666
707 1 1 1 4728
696 1 1 1 4790
695 1 1 1 4883
749 1 1 0 5782
774 1 1 0 5228
774 1 1 1 5228
656 1 1 1 4558
963 2 2 0 6855
3600 2 2.5 0 14000
461 0 1 1 3595
466 0 1 1 3495
466 0 1 1 3125
465 0 1 0 3685
465 0 1 0 3780
465 0 1 0 3920
560 0 1 0 3940
560 0 1 0 4080
539 0 1 0 4045
488 0 1 0 4240
488 0 1 0 4290
488 0 1 0 4390
599 0 1 0 4965
599 0 1 0 5015
599 0 1 0 5065
814 0 1 1 7205
599 0 1 1 8065
2082 3 3 2 9999
822 1 1 0 4097
708 1 1 1 2985
989 2 2 0 3656
